date,code,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover_rate,RSI,MACD,MACD_signal,MACD_hist,MA20,MA50,BB_upper,BB_lower,BB_middle
2015-08-24,000021,9.48,9.14,9.53,9.14,259205,261865898.0,3.8,-10.83,-1.11,1.76,36.5760129113253,-0.44237468910229794,-0.34824319187302144,-0.0941314972292765,11.2005,13.1152,12.974653037367418,9.426346962632582,11.2005
2015-08-25,000021,8.14,8.14,8.41,8.14,313426,283482800.0,2.95,-10.94,-1.0,2.13,32.911801988258404,-0.6440386837335765,-0.40740229024513247,-0.23663639348844406,11.0765,12.966600000000001,13.28829813726299,8.864701862737009,11.0765
2015-08-26,000021,8.17,7.27,8.42,7.24,493471,430862064.0,14.5,-10.69,-0.87,3.36,30.08771989953796,-0.8640997771485832,-0.49874178762582266,-0.36535798952276055,10.8515,12.7676,13.588514979864017,8.114485020135982,10.8515
2015-08-27,000021,7.74,7.6,7.77,6.82,364672,301752672.0,13.07,4.54,0.33,2.48,32.45525587182655,-1.0003402374919794,-0.599061477599054,-0.4012787598929254,10.6595,12.5734,13.723644089301288,7.59535591069871,10.6595
2015-08-28,000021,7.8,8.45,8.45,7.6,460475,408698624.0,11.18,11.18,0.85,3.13,38.25531436097885,-1.0278751823480086,-0.684824218548845,-0.34305096379916356,10.5305,12.393600000000001,13.735392977932342,7.325607022067659,10.5305
2015-08-31,000021,8.36,7.82,8.37,7.82,324370,290093232.0,6.51,-7.46,-0.63,2.21,35.80146489736343,-1.0879908778067442,-0.7654575504004248,-0.32253332740631935,10.428,12.220799999999999,13.8355539614216,7.020446038578402,10.428
2015-09-01,000021,7.81,6.96,7.81,6.95,398914,319712560.0,11.0,-11.0,-0.86,2.71,32.716400443569796,-1.1912953015672159,-0.850625100633783,-0.3406702009334328,10.23,12.019200000000001,13.946396103754285,6.513603896245716,10.23
2015-09-02,000021,6.47,7.12,7.2,6.28,391403,304994272.0,13.22,2.3,0.16,2.66,33.85834422074912,-1.2458922683132574,-0.9296785341696779,-0.31621373414357945,10.057500000000001,11.8082,14.00767404679845,6.107325953201553,10.057500000000001
2015-09-07,000021,7.29,7.2,7.61,7.14,277218,229882301.0,6.6,1.12,0.08,1.89,34.457327006820435,-1.2680877007403453,-0.9973603674838115,-0.27072733325653375,9.9015,11.6028,14.039834326755155,5.763165673244846,9.9015
2015-09-08,000021,7.22,7.65,7.72,7.03,242075,199378357.0,9.58,6.25,0.45,1.65,37.865929034760484,-1.2351287067645291,-1.044914035339955,-0.19021467142457404,9.744499999999999,11.418000000000001,13.973350789517173,5.515649210482824,9.744499999999999
2015-09-09,000021,7.71,7.98,8.09,7.68,398374,351183744.0,5.36,4.31,0.33,2.71,40.317179002861664,-1.168905805994136,-1.0697123894707914,-0.09919341652334457,9.5525,11.2524,13.73542660705397,5.369573392946031,9.5525
2015-09-10,000021,7.78,7.66,7.99,7.64,230520,200473109.0,4.39,-4.01,-0.32,1.57,38.72190520806853,-1.129227968570106,-1.0816155052906544,-0.04761246327945168,9.3495,11.0744,13.485771146818113,5.213228853181888,9.3495
2015-09-11,000021,7.9,7.93,8.09,7.76,288576,253694632.0,4.31,3.52,0.27,1.96,40.84861618515726,-1.0637341874707076,-1.078039241726665,0.014305054255957517,9.151,10.887,13.157633998757564,5.144366001242436,9.151
2015-09-14,000021,8.06,7.05,8.06,7.05,301140,251599136.0,12.74,-11.1,-0.88,2.05,36.41291522342549,-1.070498499287753,-1.0765310932388827,0.00603259395112965,8.892999999999999,10.7076,12.739843381267299,5.046156618732699,8.892999999999999
2015-09-15,000021,6.71,6.26,6.96,6.26,273889,203336189.0,9.93,-11.21,-0.79,1.86,32.9534072250042,-1.1266187037109345,-1.086548615333293,-0.04007008837764148,8.580499999999999,10.5014,12.210593524965992,4.950406475034006,8.580499999999999
2015-09-16,000021,6.41,6.96,6.97,6.24,273038,203992939.0,11.66,11.18,0.7,1.86,38.526572816356705,-1.1019081094133023,-1.089620514149295,-0.012287595264007356,8.289,10.2844,11.422514959274974,5.155485040725027,8.289
2015-09-17,000021,6.85,6.84,7.37,6.75,356468,281750624.0,8.91,-1.72,-0.12,2.43,37.944282630224826,-1.079563249386231,-1.0876090611966822,0.008045811810451164,8.059999999999999,10.082799999999999,10.900499955993668,5.219500044006329,8.059999999999999
2015-09-18,000021,6.86,7.04,7.1,6.83,211716,166002161.0,3.95,2.92,0.2,1.44,39.58324845092195,-1.0337994616227277,-1.0768471412818914,0.04304767965916367,7.83,9.9208,10.175557503025676,5.484442496974325,7.83
2015-09-21,000021,6.87,7.31,7.35,6.82,246758,197874067.0,7.53,3.84,0.27,1.68,41.817335813560746,-0.9646249901655937,-1.0544027110586318,0.08977772089303815,7.6315,9.7962,9.368627226198484,5.894372773801516,7.6315
2015-09-22,000021,7.37,7.22,7.43,7.13,282315,230972511.0,4.1,-1.23,-0.09,1.92,41.26951867682585,-0.9066150767428738,-1.0248451841954802,0.11823010745260643,7.4799999999999995,9.6532,8.740301551217025,6.2196984487829745,7.4799999999999995
2015-09-23,000021,7.1,6.99,7.19,6.88,242434,191980618.0,4.29,-3.19,-0.23,1.65,39.83337985905174,-0.8691814969758678,-0.9937124467515578,0.12453094977569001,7.3725,9.536,8.391830662739054,6.353169337260946,7.3725
2015-09-24,000021,7.12,7.17,7.29,7.04,195384,156794245.0,3.58,2.58,0.18,1.33,41.54772318886269,-0.8155890171358955,-0.9580877608284254,0.1424987436925299,7.324,9.4498,8.283174645202863,6.364825354797137,7.324
2015-09-25,000021,7.17,7.2,7.44,7.08,342336,278680656.0,5.02,0.42,0.03,2.33,41.845137357085406,-0.7619129828779583,-0.918852805238332,0.15693982236037374,7.3205,9.389,8.280947291630332,6.360052708369669,7.3205
2015-09-28,000021,7.3,7.37,7.38,6.9,233539,189295658.0,6.67,2.36,0.17,1.59,43.59650994836787,-0.6976150872869473,-0.8746052616480551,0.17699017436110775,7.309,9.3538,8.261258368301396,6.356741631698604,7.309
2015-09-29,000021,7.21,7.08,7.24,7.02,174984,139707854.0,2.99,-3.93,-0.29,1.19,41.31095578626253,-0.6624231168120884,-0.8321688326808618,0.1697457158687734,7.2405,9.332799999999999,8.0393360282311,6.4416639717689,7.2405
2015-09-30,000021,7.12,7.04,7.17,7.02,116600,92862027.0,2.12,-0.56,-0.04,0.79,40.99174112073373,-0.6304929619749524,-0.79183365853968,0.1613406965647276,7.2015,9.293000000000001,7.958422056753559,6.444577943246442,7.2015
2015-10-08,000021,7.35,7.41,7.59,7.2,303937,251445976.0,5.54,5.26,0.37,2.07,45.20920715488303,-0.5687756844019836,-0.7472220637121407,0.17844637931015717,7.224000000000001,9.2408,7.97761528646919,6.470384713530812,7.224000000000001
2015-10-09,000021,7.4,7.52,7.61,7.29,298307,248507058.0,4.32,1.48,0.11,2.03,46.43494057862095,-0.5051649890453609,-0.6988106487787848,0.19364565973342396,7.244,9.169,8.00668997633379,6.481310023666209,7.244
2015-10-12,000021,7.53,7.98,8.11,7.51,394375,344353024.0,7.98,6.12,0.46,2.68,51.33760075225385,-0.412875526996209,-0.6416236244222697,0.22874809742606073,7.283000000000001,9.0824,8.109779293403045,6.456220706596957,7.283000000000001
2015-10-13,000021,8.3,8.87,8.87,8.2,264067,252699392.0,8.4,11.15,0.89,1.8,59.131514609574225,-0.2648666832027571,-0.5662722361783672,0.3014055529756101,7.343999999999999,9.0074,8.414259781548402,6.273740218451596,7.343999999999999
2015-10-14,000021,9.21,8.85,9.57,8.72,941748,943047776.0,9.58,-0.23,-0.02,6.41,58.903204219284426,-0.14748235620557626,-0.48251426018380905,0.3350319039782328,7.3875,8.959,8.61656265096619,6.158437349033811,7.3875
2015-10-15,000021,8.67,9.03,9.08,8.53,574264,559007504.0,6.21,2.03,0.18,3.91,60.38567494741284,-0.039474893672677425,-0.39390638688158275,0.3544314932089053,7.456,8.9272,8.87604788651652,6.03595211348348,7.456
2015-10-16,000021,9.09,9.1,9.27,8.8,550410,547234128.0,5.2,0.78,0.07,3.74,60.975235843048814,0.051180239578711095,-0.304889061589524,0.3560693011682351,7.514500000000001,8.8738,9.09515144797961,5.933848552020391,7.514500000000001
2015-10-19,000021,9.12,9.48,9.57,8.95,639200,650455552.0,6.81,4.18,0.38,4.35,64.09883429793322,0.15193648084884614,-0.21352395310185,0.36546043395069616,7.636,8.8346,9.416139320390412,5.855860679609588,7.636
2015-10-20,000021,9.31,9.44,9.62,9.15,455454,465709568.0,4.96,-0.42,-0.04,3.1,63.52246171964221,0.22595420285993306,-0.12562832190949338,0.3515825247694264,7.795,8.802800000000001,9.622561216484975,5.967438783515025,7.795
2015-10-21,000021,9.44,8.41,9.52,8.41,573116,560414272.0,11.76,-10.91,-1.03,3.9,50.844274740055404,0.19920507676765098,-0.060661642174064515,0.2598667189417155,7.8675,8.7736,9.67170481099016,6.063295189009839,7.8675
2015-10-22,000021,8.42,8.72,8.77,8.28,360328,340679904.0,5.83,3.69,0.31,2.45,53.83096239325842,0.2007069856495658,-0.008387916609338455,0.20909490225890426,7.961499999999999,8.7296,9.737453546689789,6.185546453310209,7.961499999999999
2015-10-23,000021,8.74,9.06,9.16,8.6,429933,421059840.0,6.42,3.9,0.34,2.93,56.922457241791555,0.22671894291431904,0.03863345529539305,0.188085487618926,8.0625,8.6994,9.847076980687593,6.277923019312407,8.0625
2015-10-26,000021,9.19,9.74,9.74,9.08,714514,737009088.0,7.28,7.51,0.68,4.86,62.352120590026146,0.29876000409993075,0.09065876505630059,0.20810123904363015,8.184000000000001,8.6878,10.074824158931774,6.293175841068228,8.184000000000001
2015-10-27,000021,9.52,9.52,9.7,9.04,515159,529600048.0,6.78,-2.26,-0.22,3.5,59.729072786519026,0.33424790099350155,0.1393765922437408,0.19487130874976075,8.299000000000001,8.6624,10.220831418205055,6.377168581794948,8.299000000000001
2015-10-28,000021,9.5,9.45,9.9,9.38,476199,500309760.0,5.46,-0.74,-0.07,3.24,58.88031235518061,0.3526586703432404,0.18203300786364074,0.17062566247959965,8.422,8.615,10.307519557045232,6.536480442954769,8.422
2015-10-29,000021,9.5,9.85,10.1,9.28,659341,703900256.0,8.68,4.23,0.4,4.49,62.186957630342036,0.3949729919666165,0.2246210046842359,0.1703519872823806,8.556000000000001,8.5776,10.447479843931742,6.664520156068259,8.556000000000001
2015-10-30,000021,9.72,10.1,10.8,9.62,783481,875609600.0,11.98,2.54,0.25,5.33,64.12852191192549,0.443567141478189,0.26841023204302655,0.17515690943516243,8.700999999999999,8.541599999999999,10.599061115981263,6.802938884018735,8.700999999999999
2015-11-02,000021,9.62,9.35,9.98,9.28,441455,464006608.0,6.93,-7.43,-0.75,3.0,55.003995575590714,0.416755524810867,0.29807929059659466,0.11867623421427231,8.8,8.4844,10.614761692344217,6.985238307655785,8.8
2015-11-03,000021,9.43,9.19,9.57,9.08,273003,278274800.0,5.24,-1.71,-0.16,1.86,53.26288175995246,0.37823638896255574,0.3141107102697869,0.06412567869276886,8.9055,8.418000000000001,10.544883725672559,7.266116274327441,8.9055
2015-11-04,000021,9.26,9.85,9.98,9.24,391177,410948864.0,8.05,7.18,0.66,2.66,59.02474823916605,0.39639676527555956,0.3305679212709414,0.06582884400461814,9.046000000000001,8.3592,10.492034577733202,7.5999654222668,9.046000000000001
